0
0
0
0
36621,1000000001
36625,7164306137
36630,3328612273
73256,0492918405
73265,2821530677
73274,515014295
109904,847875522
109918,697167363
146553,646459204
109951,012181658
146585,961473499
146604,427195954
183243,992918408
183267,075071476
183290,157224544
219934,239377612
219961,937948687
219989,636519763
256638,435090839
220049,650092528
256698,448663604
293351,863665293
293388,795097596
293425,726529899
293462,657962202
330120,689394505
330162,237257422
330203,785120338
366866,432983255
366912,597276785
366958,761570315
403626,025863845
403676,806587988
440348,687312132
440404,084466889
440459,481621647
477135,978776404
477195,992361775
477256,005947146
477316,019532517
513997,133117888
514061,763133873
550747,493149857
550816,739596455
550885,986043053
587576,332489652
587650,195366863
587724,058244075
624419,021121287
624497,500429112
624575,979736938
624654,459044763
661354,038352588
661437,134091027
661520,229829466
698224,425567905
698312,137736957
735020,94990601
735113,278505676
735205,607105342
735297,935705009
772011,364304675
772108,309334955
772205,254365234
808923,299395514
809024,860856408
845747,4223173
845853,600196201
845959,778075103
846065,955954004
882793,233832905
882904,028142419
883014,822451934
919746,716761449
919862,127501577
919977,538241705
956714,048981834
956834,076152575
956954,103323317
993695,230494059
993819,874095414
993944,51769677
1030690,26129813
1030819,52133009
1030948,78136206
1067699,14139403
1067833,01785662
1067966,8943192
1068100,77078178
1104855,74724436
1141615,34013756
1141758,44946137
1141901,55878518
1142044,66810899
1178808,8774328
1178956,60318722
1215725,42894165
1215877,77112668
1216030,11331172
1216182,45549676
1252955,89768179
1253112,85629745
1289890,9149131
1290052,48995936
1290214,06500562
1326996,74005189
1327162,93152877
1363950,22300564
1364121,03091314
1364291,83882063
1364462,64672812
1401254,45463561
1401429,87896111
1401605,30328661
1438401,82761211
1438581,86836822
1475383,00912433
1475567,66631106
1475752,32349779
1475936,98068451
1512742,73787124
1512932,01148858
1513121,28510592
1549931,65872326
1550125,54877121
1586940,53881917
1587139,04529773
1623958,6517763
1624161,77468548
1660985,99759466
1661193,73693446
1661401,47627425
1698230,31561405
1698442,67138445
1735276,12715486
1735493,09935588
1735710,0715569
1772548,14375793
1772769,73238956
1772991,3210212
1809834,00965283
1810060,21471508
1846907,51977733
1847138,34127019
1847369,16276305
1884221,08425592
1884456,52217939
1884691,96010287
1921548,49802635
1921788,55238044
1922028,60673452
1958889,76108861
1959134,43187332
1959379,10265802
1996244,87344272
1996494,16065804
2033364,44787336
2033618,35150668
2070493,35514001
2070751,87520394
2107631,49526788
2107894,63176243
2108157,76825699
2145042,00475154
2181930,8576767
2182203,22703248
2182475,59638826
2219369,06574404
2256267,15153043
2219927,65374744
2256825,73953383
2257107,34175084
2257388,94396784
2330912,74618485
2331203,58126308
2258252,21634132
2331776,01855832
2368687,95363656
2368983,4051454
2405899,95665425
2406200,02459371
2406500,09253317
2443421,26047263
2443725,94484271
2480651,72921278
2480961,03001347
2481270,33081416
2518200,73161484
2518514,64884614
2518828,56607745
2555763,58330875
2592703,11697066
2593026,26705058
2593349,41713051
